,TVECM ,VAR ,LSTM ,RNN 
Log Returns,4.791,-28.168,-31.053,-28.036
Real Returns,119.391,-1.000,-1.000,-1.000
Mean Return,0.114,-0.671,-0.739,-0.668
Std Dev,0.207,0.211,0.020,0.054
Skewness,-1.328,-1.363,0.896,-0.173
Kurtosis,0.985,1.172,1.260,0.550
Sharpe Ratio,0.550,-3.175,-37.524,-12.385
Gain/Loss Ratio,3.209,0.000,0.000,0.000
