,TVECM ,VAR ,LSTM ,RNN 
Log Returns,-25.026,-62.551,-34.111,-35.124
Real Returns,-1.000,-1.000,-1.000,-1.000
Mean Return,-0.521,-1.303,-0.711,-0.732
Std Dev,0.626,0.606,0.037,0.056
Skewness,-0.194,-0.204,0.594,0.352
Kurtosis,-1.340,-1.315,-0.114,-0.924
Sharpe Ratio,-0.833,-2.151,-19.002,-12.964
Gain/Loss Ratio,0.104,0.000,0.000,0.000
