,TVECM ,VAR ,LSTM ,RNN 
Log Returns,-5.924,-43.757,-34.940,-33.525
Real Returns,-0.997,-1.000,-1.000,-1.000
Mean Return,-0.123,-0.912,-0.728,-0.698
Std Dev,0.438,0.431,0.027,0.058
Skewness,-0.755,-0.766,0.917,-0.241
Kurtosis,-0.945,-0.872,0.789,-1.046
Sharpe Ratio,-0.281,-2.113,-26.729,-12.109
Gain/Loss Ratio,0.492,0.000,0.000,0.000
