,Last Date of Month,Log-nominal USD to CAN,Log-nominal USD to JPN,Log-nominal USD to SWE,Log-nominal USD to CHE,Log-nominal USD to GBR,Log-nominal USD to BEL,Log-nominal USD to FRA,Log-nominal USD to DEU,Log-nominal USD to ITA,Log-nominal USD to NLD,Nominal Diff USD to CAN,Nominal Diff USD to JPN,Nominal Diff USD to SWE,Nominal Diff USD to CHE,Nominal Diff USD to GBR,Nominal Diff USD to BEL,Nominal Diff USD to FRA,Nominal Diff USD to DEU,Nominal Diff USD to ITA,Nominal Diff USD to NLD,Real Chg to 12-M Avg USD to CAN,Real Chg to 12-M Avg USD to JPN,Real Chg to 12-M Avg USD to SWE,Real Chg to 12-M Avg USD to CHE,Real Chg to 12-M Avg USD to GBR,Real Chg to 12-M Avg USD to BEL,Real Chg to 12-M Avg USD to FRA,Real Chg to 12-M Avg USD to DEU,Real Chg to 12-M Avg USD to ITA,Real Chg to 12-M Avg USD to NLD,USA INFL,CAN INFL,JPN INFL,SWE INFL,CHE INFL,GBR INFL,BEL INFL,FRA INFL,DEU INFL,ITA INFL,NLD INFL,USA IR,CAN IR,JPN IR,SWE IR,CHE IR,GBR IR,BEL IR,FRA IR,DEU IR,ITA IR,NLD IR
10,1991-05-31,-0.13967498207248197,-4.92885964129586,-1.8177195708975866,-0.37665402625404476,0.5445311562311619,-3.5655812377694427,-1.7627082048340512,-0.5422661496003097,-7.151226809766983,-0.6616049125500667,0.0031258165591893095,-0.00805642590325828,-0.007056571250299237,-0.012080359521957074,-0.014913188437275071,-0.009661910911736626,-0.012812939704695214,-0.010050923155848435,-0.011114553728724275,-0.010009159148356539,0.10681797620218342,-0.13643879658903302,-0.3500310838067462,0.3596649492175369,-0.5217291227858982,0.23772550223582511,-0.07524876541776471,-0.07576542229626493,-0.1876237756081638,-0.2555634278064378,0.295858,0.4860267,0.5,0.1012859,0.8439909,0.7,0.3607666,0.318103,0.2890173,0.3802281,0.1958864,5.91,9.198,5.55,11.74,8.1563,11.56522,9.09,9.2344,9.08,11.57,9.13
11,1991-06-30,-0.13444347654949063,-4.93983722278754,-1.8599631404895274,-0.42507163774708273,0.5005934531997417,-3.6025042383671906,-1.7997772408216384,-0.5781851620902637,-7.189235660641858,-0.6973881748172,0.005231505522991342,-0.010977581491680155,-0.042243569591940755,-0.04841761149303797,-0.043937703031420194,-0.03692300059774789,-0.03706903598758715,-0.035919012489953994,-0.038008850874875044,-0.03578326226713324,0.11631647586839067,-0.6919920296288735,-0.38393740347806005,-0.1725159275026777,-0.6829176981667053,0.08401126929758895,-0.12184407055995661,0.06681781728808112,-0.016011551826157877,-0.04348633456087436,0.2949853,0.4836759,-0.4,-0.1319784,0.4107029,0.5,0.4493372,0.2450274,0.5763689,0.4734848,0.1955034,6.07,8.8325,5.55,10.61,7.9656,11.29844,9.15,9.7066,9.06,11.56,9.15
12,1991-07-31,-0.13915306139257594,-4.926021041706347,-1.8657686269759848,-0.4370283725642828,0.5015628564868057,-3.6041382256588457,-1.8016437913020313,-0.5795304537729777,-7.192595818099261,-0.698830997028243,-0.004709584843085313,0.01381618108119298,-0.005805486486457401,-0.011956734817200054,0.0009694032870639635,-0.0016339872916550924,-0.00186655048039297,-0.0013452916827140227,-0.0033601574574033677,-0.0014428222110430822,-0.1454969213877264,0.0044601602235694315,0.10587152581171488,-0.32036877370914596,-0.44842439881909735,0.18079417493964733,0.07013545435054214,0.5616646347148726,0.050763078070106715,0.6059621977702602,0.1470588,0.1203369,-0.1,0.02202546,0.03459643,-0.2,0.5479758,0.2588066,1.146132,0.3770028,0.9756098,5.98,8.76,5.423,10.57,7.8234,11.12976,9.2,9.593,9.15,11.81,9.17
13,1991-08-31,-0.13557929424182294,-4.918639881043988,-1.8454739967302478,-0.4187761221678367,0.5212312964798714,-3.580458705159516,-1.7790794160706804,-0.5558945871335689,-7.172662461337746,-0.6754922453212246,0.003573767150752999,0.007381160662359498,0.020294630245736967,0.018252250396446068,0.01966843999306578,0.023679520499329865,0.02256437523135091,0.023635866639408865,0.01993335676151542,0.02333875170701838,-0.16883925018052642,0.261083667468637,-0.09415152866499454,0.15813271199189732,0.46499292775773193,-0.1654382820976652,-0.1254809666725636,-0.6073006528012987,-0.13197604797812446,-0.35932310626566877,0.2936858,0.1201923,0.2,-0.1409319,0.5202386,0.9,0.3003003,0.1147282,0.0,0.2816902,0.09661835,5.65,8.7225,5.423,10.7,7.872,10.93324,9.33,9.5992,9.31,11.97,9.34
14,1991-09-30,-0.128393214768399,-4.900072380514071,-1.8189205772904276,-0.39224476993730933,0.54609623784791,-3.551913599040779,-1.751301991596779,-0.5266792876891578,-7.143815055562893,-0.6462651946598149,0.007186079473423951,0.01856750052991707,0.02655341943982026,0.026531352230527383,0.024864941368038518,0.02854510611873673,0.027777424473901524,0.029215299444411036,0.028847405774852675,0.029227050661409737,-0.3801693579674664,-0.03107221275926797,0.6444270363751257,-0.1779214250474997,-0.156111492423619,-0.44610212242106506,-0.13933572527361515,-0.500599444823923,-0.027489343896259122,0.10309456767661268,0.4392387,-0.240096,0.2,1.089353,0.1937443,0.3,-0.0665336,0.1575706,0.0,0.4681648,0.8687259,5.47,8.59,5.423,10.27,8.0149,10.33408,9.2,9.4302,9.27,11.75,9.3
15,1991-10-31,-0.12035749666373399,-4.873457642895576,-1.8172972530158935,-0.39075747923589,0.5441249941669168,-3.5493299891638506,-1.7506422922568576,-0.5243142419465455,-7.141403462941432,-0.6439044139814937,0.008035718104664996,0.026614737618494644,0.0016233242745340437,0.0014872907014193415,-0.0019712436809931067,0.0025836098769285165,0.0006596993399212714,0.002365045742612315,0.002411592621460734,0.0023607806783212393,0.11462223856091802,0.771058758588969,0.09105395599629595,-0.02209620878887797,0.08743391800201739,0.3245605752908647,0.40930857438458146,1.197157563643212,0.21905376367259155,0.028048754006017362,0.1457726,-0.1203369,1.1,0.3752018,0.08840452,0.5,0.3661784,0.5148742,1.558074,0.4659832,0.2870813,5.33,8.366,5.423,10.75,8.2527,10.45823,9.29,9.325,9.38,11.51,9.33
16,1991-11-30,-0.12239460821360598,-4.864700438434448,-1.779113174193732,-0.3610254666759905,0.5763886199497497,-3.508256453955563,-1.711832032688324,-0.4829198545122819,-7.107458233606867,-0.602620541360387,-0.0020371115498719894,0.008757204461128154,0.03818407882216146,0.02973201255989949,0.03226362578283282,0.04107353520828738,0.03881025956853357,0.0413943874342636,0.033945229334565674,0.041283872621106665,0.3633518983349736,-0.28436705115308314,-0.15990693936038114,0.7280493986070727,-0.04489143070510926,0.09880792676450145,0.05898677282566278,-0.21111015979628697,0.14587498376353025,-0.2288098580264885,0.2911208,0.3614458,0.2,0.4520364,1.201288,0.3,0.2542841,0.3841776,0.41841,0.6493506,0.1908397,4.94,7.8475,4.914,11.06,8.0536,10.52977,9.47,9.5406,9.43,11.82,9.42
17,1991-12-31,-0.13688825206212168,-4.852338810064359,-1.7432342699523249,-0.326061085320896,0.602784740479554,-3.4719664525503626,-1.6753380062108039,-0.44660705143933954,-7.07514084716011,-0.5663360136935582,-0.014493643848515703,0.012361628370088695,0.03587890424140716,0.0349643813550945,0.026396120529804334,0.036290001405200556,0.0364940264775202,0.03631280307294238,0.0323173864467563,0.03628452766682877,-0.3135873264156346,-0.6582546729328982,-0.23415506423167454,-0.4577119415766371,-0.007729537719186053,-0.18931421399377069,-0.3825059224921419,-0.43097689547328405,-0.05733429259064149,-0.15108831734841188,0.07256894,-0.4801921,-0.5,-0.1384622,-0.2374298,0.2,-0.1764446,-0.3260099,0.1388889,0.2764977,-0.1904762,4.47,7.455,4.914,13.63,8.1219,10.84837,9.68,10.1104,9.58,12.92,9.7
18,1992-01-31,-0.14591687490015476,-4.8319981415414555,-1.7485213638167287,-0.3392540779957684,0.592774206413158,-3.481240089335692,-1.683765860391371,-0.456665064806555,-7.081506885093025,-0.5754891370917129,-0.009028622838033074,0.020340668522903727,-0.005287093864403847,-0.013192992674872395,-0.01001053406639596,-0.00927363678532922,-0.00842785418056713,-0.010058013367215457,-0.006366037932914459,-0.009153123398154661,0.3749459834918061,0.008889168471965192,-0.1842048478291336,0.019665578668449944,-0.2733334692009959,0.16653605594484722,0.12546405270546224,0.21403080544617037,0.15137545019364307,-0.09681335970982685,0.1450326,0.482509,-0.2,-0.1689848,0.470326,-0.2,0.2430402,0.1706485,0.554785,0.6433824,-0.1908397,4.05,7.31,4.406,12.49,7.6488,10.71773,9.48,9.9822,9.53,12.15,9.55
19,1992-02-29,-0.16763084138395107,-4.849675149062474,-1.770944329514135,-0.37576162873472174,0.5753766448254376,-3.5058576522055884,-1.7063468136021223,-0.4815615780794645,-7.103256270888206,-0.5998250233285725,-0.02171396648379631,-0.017677007521018417,-0.022422965697406205,-0.03650755073895334,-0.017397561587720434,-0.02461756286989658,-0.022580953210751264,-0.024896513272909482,-0.021749385795181375,-0.02433588623685956,-0.18709497193520863,-0.007174935506377267,-0.054130641753071806,0.20063514861574028,0.14956096091938764,0.002524325824959206,0.14901632646597673,-0.0521960666376782,-0.1267886565077596,0.2576675147093755,0.3620565,0.0,-0.1,0.04340278,0.7137606,0.5,0.3195944,0.4258944,0.5517241,0.5479452,0.4780115,4.07,7.2525,4.406,12.23,7.4031,10.42031,9.58,10.0471,9.61,12.21,9.6
